	start_time	end_time	dayOfWeek	size
160	17.0	17.833333333333332	M      	28
161	18.0	18.833333333333332	M      	15
162	19.0	19.833333333333332	M      	8
163	13.0	13.833333333333334	F      	27
164	14.0	14.833333333333334	F      	18
165	15.0	15.833333333333334	F      	13
166	16.0	16.833333333333332	F      	2
167	17.0	17.833333333333332	F      	4
168	16.0	16.833333333333332	M      	31
169	18.0	18.833333333333332	M      	29
170	19.0	19.833333333333332	M      	27
171	16.0	16.833333333333332	Th      	31
172	9.0	9.833333333333334	M      	28
173	14.0	14.833333333333334	F      	30
174	19.0	19.833333333333332	Th      	31
175	20.0	20.833333333333332	Th      	29
176	16.0	16.833333333333332	F      	26
177	17.0	17.833333333333332	F      	9
178	18.0	18.833333333333332	F      	8
179	16.0	16.833333333333332	M      	30
180	17.0	17.833333333333332	M      	31
181	18.0	18.833333333333332	M      	31
182	14.0	14.833333333333334	W      	28
183	16.0	16.833333333333332	W      	30
184	18.0	18.833333333333332	W      	29
185	20.0	20.833333333333332	Tu      	27
186	17.0	17.833333333333332	Tu      	31
187	20.0	20.833333333333332	Tu      	30
188	21.0	21.833333333333332	Tu      	12
189	17.0	17.833333333333332	Th      	31
190	18.0	18.833333333333332	Th      	30
191	19.0	19.833333333333332	Th      	31
192	20.0	20.833333333333332	Th      	30
193	21.0	21.833333333333332	Th      	15
194	16.0	16.833333333333332	M      	31
195	19.0	19.833333333333332	M      	26
